uf,nome,sigla_uf,regiao
35,SãoPaulo,SP,Sudeste
41,Paraná,PR,Sul
42,SantaCatarina,SC,Sul
43,RioGrandedoSul,RS,Sul
50,MatoGrossodoSul,MS,Centro-Oeste
11,Rondônia,RO,Norte
12,Acre,AC,Norte
13,Amazonas,AM,Norte
14,Roraima,RR,Norte
15,Pará,PA,Norte
16,Amapá,AP,Norte
17,Tocantins,TO,Norte
21,Maranhão,MA,Nordeste
24,RioGrandedoNorte,RN,Nordeste
25,Paraíba,PB,Nordeste
26,Pernambuco,PE,Nordeste
27,Alagoas,AL,Nordeste
28,Sergipe,SE,Nordeste
29,Bahia,BA,Nordeste
31,MinasGerais,MG,Sudeste
33,RiodeJaneiro,RJ,Sudeste
51,MatoGrosso,MT,Centro-Oeste
52,Goiás,GO,Centro-Oeste
53,DistritoFederal,DF,Centro-Oeste
22,Piauí,PI,Nordeste
23,Ceará,CE,Nordeste
32,EspíritoSanto,ES,Sudeste